port,tcp,udp
1,None,abierto|filtrado
2,filtrado,abierto|filtrado
3,None,abierto|filtrado
4,filtrado,abierto|filtrado
5,None,abierto|filtrado
6,filtrado,abierto|filtrado
7,None,abierto|filtrado
8,filtrado,abierto|filtrado
9,filtrado,abierto|filtrado
10,filtrado,abierto|filtrado
11,None,abierto|filtrado
12,filtrado,abierto|filtrado
13,None,abierto|filtrado
14,filtrado,abierto|filtrado
15,filtrado,abierto|filtrado
16,filtrado,abierto|filtrado
17,filtrado,abierto|filtrado
18,filtrado,abierto|filtrado
19,filtrado,abierto|filtrado
20,filtrado,abierto|filtrado
21,filtrado,abierto|filtrado
22,abierto SA,abierto|filtrado
23,filtrado,abierto|filtrado
24,filtrado,abierto|filtrado
25,filtrado,abierto|filtrado
26,filtrado,abierto|filtrado
27,filtrado,abierto|filtrado
28,filtrado,abierto|filtrado
29,filtrado,abierto|filtrado
30,filtrado,abierto|filtrado
31,filtrado,abierto|filtrado
32,filtrado,abierto|filtrado
33,None,abierto|filtrado
34,filtrado,abierto|filtrado
35,filtrado,abierto|filtrado
36,filtrado,abierto|filtrado
37,filtrado,abierto|filtrado
38,filtrado,abierto|filtrado
39,filtrado,abierto|filtrado
40,None,abierto|filtrado
41,filtrado,abierto|filtrado
42,filtrado,filtrado
43,filtrado,abierto|filtrado
44,filtrado,abierto|filtrado
45,filtrado,abierto|filtrado
46,filtrado,abierto|filtrado
47,filtrado,abierto|filtrado
48,filtrado,abierto|filtrado
49,filtrado,filtrado
50,filtrado,abierto|filtrado
51,filtrado,abierto|filtrado
52,filtrado,abierto|filtrado
53,filtrado,abierto|filtrado
54,filtrado,filtrado
55,filtrado,abierto|filtrado
56,filtrado,abierto|filtrado
57,filtrado,abierto|filtrado
58,filtrado,abierto|filtrado
59,filtrado,abierto|filtrado
60,filtrado,abierto|filtrado
61,filtrado,abierto|filtrado
62,filtrado,abierto|filtrado
63,filtrado,abierto|filtrado
64,filtrado,abierto|filtrado
65,None,abierto|filtrado
66,filtrado,abierto|filtrado
67,filtrado,abierto|filtrado
68,filtrado,abierto|filtrado
69,filtrado,abierto|filtrado
70,filtrado,abierto|filtrado
71,filtrado,abierto|filtrado
72,filtrado,abierto|filtrado
73,filtrado,abierto|filtrado
74,filtrado,abierto|filtrado
75,filtrado,abierto|filtrado
76,filtrado,abierto|filtrado
77,filtrado,abierto|filtrado
78,filtrado,abierto|filtrado
79,None,abierto|filtrado
80,abierto SA,abierto|filtrado
81,filtrado,abierto|filtrado
82,filtrado,abierto|filtrado
83,filtrado,abierto|filtrado
84,filtrado,abierto|filtrado
85,filtrado,abierto|filtrado
86,filtrado,abierto|filtrado
87,filtrado,abierto|filtrado
88,filtrado,abierto|filtrado
89,filtrado,abierto|filtrado
90,filtrado,abierto|filtrado
91,filtrado,abierto|filtrado
92,filtrado,abierto|filtrado
93,filtrado,abierto|filtrado
94,filtrado,abierto|filtrado
95,filtrado,abierto|filtrado
96,filtrado,abierto|filtrado
97,filtrado,abierto|filtrado
98,filtrado,abierto|filtrado
99,filtrado,abierto|filtrado
100,filtrado,abierto|filtrado
101,filtrado,abierto|filtrado
102,filtrado,abierto|filtrado
103,filtrado,abierto|filtrado
104,filtrado,abierto|filtrado
105,filtrado,abierto|filtrado
106,filtrado,abierto|filtrado
107,filtrado,abierto|filtrado
108,filtrado,abierto|filtrado
109,filtrado,abierto|filtrado
110,filtrado,abierto|filtrado
111,filtrado,abierto|filtrado
112,filtrado,abierto|filtrado
113,filtrado,abierto|filtrado
114,filtrado,abierto|filtrado
115,filtrado,abierto|filtrado
116,filtrado,abierto|filtrado
117,filtrado,abierto|filtrado
118,filtrado,abierto|filtrado
119,filtrado,abierto|filtrado
120,filtrado,abierto|filtrado
121,filtrado,abierto|filtrado
122,filtrado,abierto|filtrado
123,filtrado,abierto|filtrado
124,filtrado,abierto|filtrado
125,filtrado,abierto|filtrado
126,filtrado,abierto|filtrado
127,filtrado,abierto|filtrado
128,None,abierto|filtrado
129,None,abierto|filtrado
130,filtrado,abierto|filtrado
131,filtrado,filtrado
132,filtrado,abierto|filtrado
133,filtrado,abierto|filtrado
134,filtrado,abierto|filtrado
135,filtrado,abierto|filtrado
136,filtrado,filtrado
137,filtrado,abierto|filtrado
138,filtrado,abierto|filtrado
139,filtrado,abierto|filtrado
140,filtrado,abierto|filtrado
141,None,abierto|filtrado
142,filtrado,abierto|filtrado
143,filtrado,abierto|filtrado
144,filtrado,abierto|filtrado
145,filtrado,abierto|filtrado
146,filtrado,abierto|filtrado
147,filtrado,abierto|filtrado
148,filtrado,abierto|filtrado
149,filtrado,abierto|filtrado
150,filtrado,abierto|filtrado
151,filtrado,abierto|filtrado
152,filtrado,abierto|filtrado
153,filtrado,abierto|filtrado
154,filtrado,abierto|filtrado
155,None,abierto|filtrado
156,filtrado,abierto|filtrado
157,filtrado,abierto|filtrado
158,filtrado,abierto|filtrado
159,filtrado,filtrado
160,filtrado,abierto|filtrado
161,None,abierto|filtrado
162,filtrado,abierto|filtrado
163,filtrado,abierto|filtrado
164,filtrado,abierto|filtrado
165,filtrado,abierto|filtrado
166,filtrado,abierto|filtrado
167,filtrado,abierto|filtrado
168,filtrado,abierto|filtrado
169,filtrado,abierto|filtrado
170,filtrado,abierto|filtrado
171,filtrado,abierto|filtrado
172,filtrado,abierto|filtrado
173,filtrado,abierto|filtrado
174,filtrado,abierto|filtrado
175,filtrado,abierto|filtrado
176,filtrado,abierto|filtrado
177,None,abierto|filtrado
178,filtrado,abierto|filtrado
179,filtrado,abierto|filtrado
180,filtrado,abierto|filtrado
181,filtrado,abierto|filtrado
182,filtrado,abierto|filtrado
183,filtrado,abierto|filtrado
184,filtrado,abierto|filtrado
185,filtrado,abierto|filtrado
186,filtrado,abierto|filtrado
187,filtrado,abierto|filtrado
188,filtrado,abierto|filtrado
189,filtrado,abierto|filtrado
190,filtrado,abierto|filtrado
191,filtrado,abierto|filtrado
192,filtrado,abierto|filtrado
193,filtrado,abierto|filtrado
194,filtrado,abierto|filtrado
